         754262 function calls (753796 primitive calls) in 20.095 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.001    0.000 /usr/lib/python2.6/genericpath.py:38(isdir)
       11    0.000    0.000    2.128    0.193 /usr/lib/python2.6/httplib.py:906(_send_request)
       12    0.000    0.000    7.230    0.602 /usr/lib/python2.6/httplib.py:940(getresponse)
       11    0.000    0.000    0.001    0.000 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:57(__del__)
       11    0.000    0.000    0.001    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/site_holder.py:11(visited)
       24    0.000    0.000    0.060    0.002 /usr/lib/python2.6/sre_compile.py:501(compile)
       12    0.000    0.000    0.001    0.000 /usr/lib/python2.6/socket.py:187(close)
       23    0.000    0.000    0.001    0.000 /usr/lib/python2.6/socket.py:235(__init__)
      136    0.000    0.000    0.000    0.000 {sys.exc_info}
       12    0.000    0.000    0.001    0.000 /usr/lib/python2.6/mimetools.py:50(parseplist)
      198    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       24    0.000    0.000    0.033    0.001 /usr/lib/python2.6/sre_parse.py:669(parse)
       22    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urlparse.py:65(hostname)
       11    0.000    0.000    2.745    0.250 /home/renlu/Dropbox/Private/devel/hyer/hyer/document.py:140(get_charset)
       10    0.000    0.000    0.004    0.000 /usr/lib/python2.6/dist-packages/chardet/universaldetector.py:121(close)
       11    0.000    0.000    0.001    0.000 /usr/lib/python2.6/urllib2.py:1056(do_request_)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/latin1prober.py:29(<module>)
       55    0.000    0.000    0.000    0.000 {method 'readline' of 'file' objects}
       33    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
       44    0.000    0.000    0.005    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/tinySQL.py:9(escape)
      138    0.000    0.000    0.000    0.000 /usr/lib/python2.6/sre_parse.py:96(__init__)
       12    0.000    0.000    0.001    0.000 /usr/lib/python2.6/httplib.py:329(__init__)
       11    0.000    0.000    0.001    0.000 /usr/lib/python2.6/random.py:99(seed)
       10    0.000    0.000    0.002    0.000 /usr/lib/python2.6/dist-packages/chardet/eucjpprober.py:37(__init__)
       10    0.000    0.000    0.003    0.000 /usr/lib/python2.6/dist-packages/chardet/universaldetector.py:42(__init__)
       20    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/universaldetector.py:49(reset)
       20    0.000    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/sjisprober.py:44(reset)
       10    0.000    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/utf8prober.py:37(__init__)
       11    0.000    0.000    0.002    0.000 /usr/lib/python2.6/cookielib.py:1311(add_cookie_header)
       12    0.000    0.000    2.316    0.193 /usr/lib/python2.6/httplib.py:719(send)
       57    0.000    0.000    0.001    0.000 /usr/lib/python2.6/httplib.py:873(putheader)
       20    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetgroupprober.py:32(__init__)
       20    0.000    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/eucjpprober.py:44(reset)
       78    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:66(get_confidence)
       22    0.000    0.000    0.001    0.000 /usr/lib/python2.6/httplib.py:497(close)
       69    0.000    0.000    0.000    0.000 /usr/lib/python2.6/httplib.py:749(_output)
       20    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/utf8prober.py:42(reset)
       10    0.000    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/gb2312prober.py:34(__init__)
       12    0.000    0.000    0.000    0.000 /usr/lib/python2.6/urllib.py:925(__init__)
       10    0.000    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/big5prober.py:34(__init__)
       33    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
       10    0.000    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/euctwprober.py:34(__init__)
      114    0.000    0.000    0.000    0.000 {method 'affected_rows' of '_mysql.connection' objects}
      114    0.000    0.000    0.000    0.000 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:282(_fetch_row)
       10    0.000    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/euckrprober.py:34(__init__)
       11    0.000    0.000    0.001    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/diskhash.py:26(hash_read)
       58    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/mbcharsetprober.py:81(get_confidence)
      114    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       11    0.000    0.000    9.329    0.848 /usr/lib/python2.6/urllib2.py:399(_open)
       12    0.000    0.000    0.127    0.011 /usr/lib/python2.6/rfc822.py:88(__init__)
       11    0.000    0.000    0.001    0.000 /usr/lib/python2.6/os.py:747(urandom)
       23    0.000    0.000    0.000    0.000 /usr/lib/python2.6/sre_parse.py:263(_escape)
       11    0.000    0.000    0.000    0.000 {function seed at 0xb76cdaac}
       24    0.000    0.000    0.026    0.001 /usr/lib/python2.6/sre_compile.py:486(_code)
      100    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/hebrewprober.py:175(is_non_final)
      114    0.000    0.000    0.000    0.000 {method 'insert_id' of '_mysql.connection' objects}
